dest_country,shipper,value_norm_usd
Vietnam,Damen Workboats B.V.,173163.13439
Malaysia,"Cccc Tianjin Dredging Co., Ltd.",172206.9
Vietnam,Cong Ty Co Phan Tap Doan Cong Nghiep Viet Phong,172011.74866
Vietnam,Viet Industry Group Joint Stock Company,172011.74866
Vietnam,Hk Rongwei Technology Co Limited,172000.0
Vietnam,Gas Vietnam Co. Ltd,171717.96334000002
Kenya,Milkotronic Ltd Dhl Aero Expreso Sa,171710.78
Vietnam,Taian Strength Equipments Co Ltd,171600.0
Vietnam,Shenzhen Anxin Trading Co. Ltd.,171385.0
Vietnam,Cong Ty Tnhh Iwatani Viet Nam,170898.95731
Indonesia,Jiangsu Ocean Cooling Equipment Co. Ltd,170283.61
Senegal,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,167865.39
South Africa,Gokceler Domestic And Foreign Trade Cooling Systems Joint Stock Company,167272.6
Brazil,Carrier Transicold Limited Cap,166435.0
Vietnam,Cong Ty Tnhh Cong Trinh L & K Viet Nam Cong Ty Tnhh,165856.29028000002
Nigeria,Lions Machinery Engineering Ltd,165075.0
Vietnam,Forest Tavern International Co. Ltd.,165000.0
Vietnam,Hainan Yongan Trade Co Ltd,163576.39984
Vietnam,Guang Dong Foster Fluid Technology Co Ltd,163475.28
Philippines,Guangxi Qin An Technology Co Ltd,162093.0
Vietnam,Cong Ty Co Phan Nippon Sanso Viet Nam,161664.68270583168
United Arab Emirates,Guven Bombe And Pressure Vessels Joint Stock Company,161306.0
Malaysia,Changzhou Choice Imp Exp Co Ltd,161109.82
United States,Yingyi Hai Phong Machinery Co. Ltd.,160610.22
Vietnam,Vinacomin Mining Chemical Industry Holding Corporation Limited,160000.0
Vietnam,Yunnan Xiangfeng Tonghui New Material Technology Co Ltd,160000.0
Vietnam,Linggas Materials Tianjin Ltd,160000.0
Vietnam,J And E International China Co Ltd,160000.0
Brazil,Cummins Supply Chain Technologies And Management Shanghai,159682.08000000002
Oman,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,159350.0
Vietnam,Vinata International Co. Ltd.,159100.36666666667
Malaysia,Kunshan Fager Mechanical And Electrical Engineering Co Ltd,157311.1
Philippines,Hubei Yaoxing International Trading Co Ltd,156470.0
Malaysia,Jiangsu Seagull Cooling Tower Co,156364.62
Vietnam,Rk Engineering Co. Ltd.,156207.54
Vietnam,Cgn Dasheng Electron Accelerator Technology Co Ltd,155000.0
Brazil,Hongsheng Thermal System Ltd,153805.43
Brazil,Fpt Industrial Spa,153533.0
Brazil,Peugeot Cars,153514.81
Philippines,Inox India Pvt. Ltd.,153448.47999999998
Vietnam,Huatai Yongchuang Beijing Tech Co Ltd,152520.0
Malaysia,Nxp Malaysia Sdn Bhd,152478.65
Vietnam,Inox India Ltd.,151500.0
Indonesia,Bac Dalian Co Ltd,151308.0
Vietnam,Finn & Moa Industrial Co. Ltd.,150750.0
Philippines,Hangzhou Xiangertai Import Export,150392.0
Vietnam,Lowa Tech. Ltd.,150390.0
Indonesia,"Qingdao Huakun Engineering Co., Ltd.",150346.41
Indonesia,Encon International Limited 19 Cam,150300.0
Malaysia,Hua Yin Trading Development Co Ltd,149362.0
United Arab Emirates,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,148773.34
Vietnam,Appliancz International Inc,147886.0
Malaysia,Applied Material S E A Pte Ltd,147811.03
India,Nihon Spindle Cooling Towers Sdn. Bhd.,147326.38
United States,Industrias Gutierrez S.A. De C.V.,146417.46000000002
Uganda,Total Energies Marketing Afrique 92069 Paris La De,145364.0
Vietnam,Guangxi Pingxiang Futai Imp. & Exp. Trade Co Ltd,145227.18
Brazil,Airbus Sas,145109.59
Vietnam,Guangzhou Farwei Trading Co Ltd,144606.0
Saudi Arabia,Ak Steel Pipe Industry Joint Stock Company,144160.0
Brazil,Wuxi Passion Heat Exchanger,143975.39
Indonesia,Hunan Yuanheng Technology Co. Ltd,143720.0
Indonesia,Moon Enviroment Technology Co Ltd,143530.0
Vietnam,Cong Ty Tnhh Thiet Bi - He Thong L.P.G,141943.22271
Brazil,Parker Hydraulic Systems Division,141260.06
Vietnam,Alwayus Industry Co. Ltd.,141120.0
Vietnam,Reamor Industry Hong Kong Ltd.,141075.0
Vietnam,Cong Ty Tnhh Cong Trinh Xay Dung Tung Nhat,140045.93404
Vietnam,Jiangsu Aricen Electronic Materials Co Ltd,140000.0
